LXS GY Equity;LANXESS AG
ALV GY Equity;Allianz SE
RWE GY Equity;RWE AG
BAYN GY Equity;Bayer AG
BMW GY Equity;Bayerische Motoren Werke AG
CBK GY Equity;Commerzbank AG
DBK GY Equity;Deutsche Bank AG
BAS GY Equity;BASF SE
HEN3 GY Equity;Henkel AG & Co KGaA
LIN GY Equity;Linde AG
LHA GY Equity;Deutsche Lufthansa AG
SIE GY Equity;Siemens AG
VOW3 GY Equity;Volkswagen AG
EOAN GY Equity;E.ON SE
BEI GY Equity;Beiersdorf AG
HEI GY Equity;HeidelbergCement AG
SDF GY Equity;K+S AG
MUV2 GY Equity;Munich Re
FRE GY Equity;Fresenius SE & Co KGaA
SAP GY Equity;SAP SE
MRK GY Equity;Merck KGaA
ADS GY Equity;adidas AG
DTE GY Equity;Deutsche Telekom AG
DPW GY Equity;Deutsche Post AG
FME GY Equity;Fresenius Medical Care AG & Co KGaA
DAI GY Equity;Daimler AG
TKA GY Equity;ThyssenKrupp AG
IFX GY Equity;Infineon Technologies AG
DB1 GY Equity;Deutsche Boerse AG
CON GY Equity;Continental AG
