IHG LN Equity;InterContinental Hotels Group PLC
ANTO LN Equity;Antofagasta PLC
ADM LN Equity;Admiral Group PLC
SBRY LN Equity;J Sainsbury PLC
MRW LN Equity;WM Morrison Supermarkets PLC
CNA LN Equity;Centrica PLC
TSCO LN Equity;Tesco PLC
BP/ LN Equity;BP PLC
FRES LN Equity;Fresnillo PLC
STAN LN Equity;Standard Chartered PLC
FLG LN Equity;Friends Life Group Ltd
RDSA LN Equity;Royal Dutch Shell PLC
RDSB LN Equity;Royal Dutch Shell PLC
TT/ LN Equity;TUI Travel PLC
GSK LN Equity;GlaxoSmithKline PLC
PFC LN Equity;Petrofac Ltd
BLT LN Equity;BHP Billiton PLC
SSE LN Equity;SSE PLC
HSBA LN Equity;HSBC Holdings PLC
VOD LN Equity;Vodafone Group PLC
NG/ LN Equity;National Grid PLC
RIO LN Equity;Rio Tinto PLC
IMT LN Equity;Imperial Tobacco Group PLC
DLG LN Equity;Direct Line Insurance Group PLC
AAL LN Equity;Anglo American PLC
OML LN Equity;Old Mutual PLC
III LN Equity;3i Group PLC
BA/ LN Equity;BAE Systems PLC
SVT LN Equity;Severn Trent PLC
UU/ LN Equity;United Utilities Group PLC
PSON LN Equity;Pearson PLC
LGEN LN Equity;Legal & General Group PLC
INTU LN Equity;Intu Properties PLC
BATS LN Equity;British American Tobacco PLC
ADN LN Equity;Aberdeen Asset Management PLC
CCH LN Equity;Coca-Cola HBC AG
SL/ LN Equity;Standard Life PLC
AZN LN Equity;AstraZeneca PLC
SMIN LN Equity;Smiths Group PLC
BLND LN Equity;British Land Co PLC/The
GLEN LN Equity;Glencore PLC
MKS LN Equity;Marks & Spencer Group PLC
ULVR LN Equity;Unilever PLC
SKY LN Equity;Sky PLC
RMG LN Equity;Royal Mail PLC
GFS LN Equity;G4S PLC
HMSO LN Equity;Hammerson PLC
CRH LN Equity;CRH PLC
KGF LN Equity;Kingfisher PLC
AV/ LN Equity;Aviva PLC
IMI LN Equity;IMI PLC
MNDI LN Equity;Mondi PLC
BT/A LN Equity;BT Group PLC
LAND LN Equity;Land Securities Group PLC
DGE LN Equity;Diageo PLC
WEIR LN Equity;Weir Group PLC/The
RB/ LN Equity;Reckitt Benckiser Group PLC
CPI LN Equity;Capita PLC
SGE LN Equity;Sage Group PLC/The
WPP LN Equity;WPP PLC
EZJ LN Equity;easyJet PLC
MGGT LN Equity;Meggitt PLC
RR/ LN Equity;Rolls-Royce Holdings PLC
CPG LN Equity;Compass Group PLC
TLW LN Equity;Tullow Oil PLC
SDR LN Equity;Schroders PLC
EXPN LN Equity;Experian PLC
CCL LN Equity;Carnival PLC
GKN LN Equity;GKN PLC
HL/ LN Equity;Hargreaves Lansdown PLC
PRU LN Equity;Prudential PLC
STJ LN Equity;St James's Place PLC
REL LN Equity;Reed Elsevier PLC
SN/ LN Equity;Smith & Nephew PLC
WOS LN Equity;Wolseley PLC
NXT LN Equity;Next PLC
BG/ LN Equity;BG Group PLC
ITRK LN Equity;Intertek Group PLC
SAB LN Equity;SABMiller PLC
BRBY LN Equity;Burberry Group PLC
JMAT LN Equity;Johnson Matthey PLC
BNZL LN Equity;Bunzl PLC
TPK LN Equity;Travis Perkins PLC
ITV LN Equity;ITV PLC
BAB LN Equity;Babcock International Group PLC
AGK LN Equity;Aggreko PLC
BARC LN Equity;Barclays PLC
WTB LN Equity;Whitbread PLC
DC/ LN Equity;Dixons Carphone PLC
LSE LN Equity;London Stock Exchange Group PLC
AHT LN Equity;Ashtead Group PLC
ABF LN Equity;Associated British Foods PLC
RRS LN Equity;Randgold Resources Ltd
ARM LN Equity;ARM Holdings PLC
PSN LN Equity;Persimmon PLC
SPD LN Equity;Sports Direct International PLC
RSA LN Equity;RSA Insurance Group PLC
LLOY LN Equity;Lloyds Banking Group PLC
IAG LN Equity;International Consolidated Airlines Grou
SHP LN Equity;Shire PLC
RBS LN Equity;Royal Bank of Scotland Group PLC
